Pole Number,Number of Locations,Location 1,Location 2,Location 3,Action Needed
LAW.P.A034,2,6839 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,44 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A035,3,6839 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,9 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,46 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A036,3,13 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6841 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,48 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A037,3,15 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,52 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,50 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A038,6,6846 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,23 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,19 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A039,3,6847 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,58 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,25 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A040,5,62 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,64 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,29 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A041,2,6868 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,59 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A042,4,51 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6866 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,57 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A043,4,6865 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,22 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,47 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A044,3,45 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,20 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,18 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A045,2,45 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6872 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A047,2,6862 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,14 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A048,2,6860 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,12 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A049,3,6859 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,82 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,80 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A050,3,78 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,80 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6857 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A051,3,76 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,41 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6874 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A052,4,72 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6875 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,74 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A053,2,70 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6853 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A054,4,66 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,33 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,68 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A058,3,6923 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,56 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,54 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A060,4,55 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,64 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,68 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A062,2,49 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6933 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A063,2,33 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6 LERATO STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A070,3,6338 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,147 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,145 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A071,3,6335 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,362 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,360 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A073,3,141 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,356 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,139 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A074,2,354 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,139 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A075,2,350 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,139 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A076,4,131 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,133 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6345 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A077,3,346 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,348 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6328 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A078,2,344 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,127 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A079,4,6350 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,123 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,119 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A081,4,6360 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,336 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6322 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A082,3,6358 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,111 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,113 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A083,3,334 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,332 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,105 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A084,3,328 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,103 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,330 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A085,5,324 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6366 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,93 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A086,3,93 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,95 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6365 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A087,3,99 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,101 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6365 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A105,3,63 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,345 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,347 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A106,4,343 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,61 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,59 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A107,3,57 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,55 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,339 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A108,4,335 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,337 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,53 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A109,3,49 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,333 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,331 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A110,3,327 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,329 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,43 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A112,3,41 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,39 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,325 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A114,2,37 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,321 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A115,2,315 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,33 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A116,2,311 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,313 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A119,4,307 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,309 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,23 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A122,4,21 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,19 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,303 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A123,3,299 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,17 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,15 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A124,4,13 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,297 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,11 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A125,2,293 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,9 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A165,2,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,"SECOND AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.37597114071963, 27.811972853613373]",,Verify correct location
LAW.P.A247,2,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,"SECOND AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.374618894340227, 27.811879993971157]",,Verify correct location
LAW.P.A497,2,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,"FOURTH AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.374267530542568, 27.80673069336029]",,Verify correct location
LAW.P.A500,2,"FOURTH AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.37415488196265, 27.807472058153603]",1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A501,2,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,"THIRD AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.374115858141412, 27.807712531422986]",,Verify correct location
LAW.P.A503,2,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,"THIRD AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.374035337068598, 27.808157850504195]",,Verify correct location
LAW.P.A505,2,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,"SECOND AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.373995399607928, 27.808559347591927]",,Verify correct location
LAW.P.A513,2,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,"SECOND AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.373942729835893, 27.808862102140957]",,Verify correct location
LAW.P.A515,2,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,"SECOND AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.37384186888231, 27.809506983625734]",,Verify correct location
LAW.P.A516,2,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,"SECOND AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.373814311620386, 27.809734318608573]",,Verify correct location
LAW.P.A538,2,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,"LOUIS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.374480960705046, 27.805302983247717]",,Verify correct location
LAW.P.A540,2,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,"LOUIS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.374508945614085, 27.80485396759166]",,Verify correct location
LAW.P.A594,2,53 KHULULEKA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,51 KHULULEKA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A597,3,16 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,44 KHULULEKA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,48 KHULULEKA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A598,2,"LOUIS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.37673833169439, 27.805952720825374]",14 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A599,2,36 KHULULEKA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,"LOUIS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.376782591102423, 27.805690410921258]",,Verify correct location
LAW.P.A600,2,6 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,4 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A613,2,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,42 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A614,3,36 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,"LOUIS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.376494575495308, 27.807706214638404]",32 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A615,3,"LOUIS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.376383146852444, 27.807682644028386]",32 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A616,2,28 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,26 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A617,2,30 EUCALYPTUS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A695,3,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,23 KHULULEKA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,21 KHULULEKA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A696,3,19 KHULULEKA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,17 KHULULEKA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A697,4,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,13 KHULULEKA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,15 KHULULEKA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A698,3,11 KHULULEKA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,10 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,12 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A711,2,27 KHULULEKA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,25 KHULULEKA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A723,2,"LOUIS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.375826697396278, 27.804945208359126]",1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A730,4,49 NTSOOA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,51 NTSOOA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,22 KHULULEKA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A731,4,45 NTSOOA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,43 NTSOOA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,20 KHULULEKA STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
