Pole Number,Agent Name,Times Submitted,Unique Dates,All Dates,Address,Risk Level,Action
LAW.P.B459,simphiwe mashaba,3,3,2025-06-03 | 2025-07-01 | 2025-07-08,65 UXOLO STREET LAWLEY ESTATE LENASIA 1824 GT 7980,MEDIUM,VERIFY DUPLICATE
LAW.P.B454,simphiwe mashaba,3,2,2025-06-03 | 2025-07-08,36 HLOHONOLOFATSO STREET LAWLEY ESTATE LENASIA 182,MEDIUM,VERIFY DUPLICATE
LAW.P.E089,Ana Jane,3,1,2025-06-02,39 TOKOHOLO STREET LAWLEY ESTATE LENASIA 1824 GT 7,LOW,SYSTEM DUPLICATE
LAW.P.D714,Zanele hele,3,2,2025-06-01 | 2025-06-06,36 MOTLOTLO STREET LAWLEY ESTATE LENASIA 1824 GT 7,MEDIUM,VERIFY DUPLICATE
LAW.P.D086,Zanele Hele,3,1,2025-06-26,3 BONITO CRESCENT LAWLEY LENASIA 1824 GT 79800121 ,LOW,SYSTEM DUPLICATE
LAW.P.D149,Angelique,3,1,2025-06-11,70 BARRACUDA ROAD LAWLEY LENASIA 1824 GT 79800121 ,LOW,SYSTEM DUPLICATE
LAW.P.A886,marchael,2,1,2025-05-06,FOURTH AVENUE LAWLEY ESTATE LENASIA 1824 GT 798000,LOW,SYSTEM DUPLICATE
LAW.P.A909,itumeleng,2,1,2025-07-07,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800,LOW,SYSTEM DUPLICATE
LAW.P.A860,manuel,2,1,2025-05-06,FOURTH AVENUE LAWLEY ESTATE LENASIA 1824 GT 798000,LOW,SYSTEM DUPLICATE
LAW.P.A527,Lerato,2,2,2025-06-03 | 2025-07-03,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800,MEDIUM,VERIFY DUPLICATE
LAW.P.A406,itumeleng,2,1,2025-07-03,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800,LOW,SYSTEM DUPLICATE
LAW.P.A247,Yolanda,2,1,2025-06-01,SECOND AVENUE LAWLEY ESTATE LENASIA 1824 GT 798000,LOW,SYSTEM DUPLICATE
LAW.P.D322,Mpoletsang,2,1,2025-07-05,64 PIRANHA CRESCENT LAWLEY LENASIA 1824 GT 7980012,LOW,SYSTEM DUPLICATE
LAW.P.D494,Mpoletsang,2,1,2025-07-05,97 PIRANHA CRESCENT LAWLEY LENASIA 1824 GT 7980012,LOW,SYSTEM DUPLICATE
LAW.P.D216,lebohang,2,1,2025-07-07,34 PIRANHA CRESCENT LAWLEY LENASIA 1824 GT 7980012,LOW,SYSTEM DUPLICATE
LAW.P.D206,lebohang,2,1,2025-07-07,33 MUSSEL CRACKER CRESCENT LAWLEY LENASIA 1824 GT ,LOW,SYSTEM DUPLICATE
LAW.P.C919,Tshepiso,2,1,2025-06-11,94 BARRACUDA ROAD LAWLEY LENASIA 1824 GT 79800121 ,LOW,SYSTEM DUPLICATE
LAW.P.D015,Yolanda,2,1,2025-07-07,5 CATFISH CRESCENT LAWLEY LENASIA 1824 GT 79800121,LOW,SYSTEM DUPLICATE
LAW.P.D034,Angelique mashele,2,1,2025-06-06,15 HERRING CIRCLE LAWLEY LENASIA 1824 GT 79800121 ,LOW,SYSTEM DUPLICATE
LAW.P.D199,Tholakele,2,1,2025-06-05,7 OAR PLACE LAWLEY LENASIA 1824 GT 79800121 JHB,LOW,SYSTEM DUPLICATE
LAW.P.C939,Tholakele,2,1,2025-06-11,39 HALIBUT CRESCENT LAWLEY LENASIA 1824 GT 7980012,LOW,SYSTEM DUPLICATE
LAW.P.C950,Tholakele,2,1,2025-06-04,28 HALIBUT CRESCENT LAWLEY LENASIA 1824 GT 7980012,LOW,SYSTEM DUPLICATE
LAW.P.C945,Tholakele,2,1,2025-06-25,129 HALIBUT CRESCENT LAWLEY LENASIA 1824 GT 798001,LOW,SYSTEM DUPLICATE
LAW.P.C973,Tshepiso,2,1,2025-06-05,8 GUPPY PLACE LAWLEY LENASIA 1824 GT 79800121 JHB,LOW,SYSTEM DUPLICATE
LAW.P.C969,Tshepiso,2,1,2025-06-05,13 HADDOCK PLACE LAWLEY LENASIA 1824 GT 79800121 J,LOW,SYSTEM DUPLICATE
LAW.P.D010,Yolanda,2,1,2025-07-07,42 HERRING CIRCLE LAWLEY LENASIA 1824 GT 79800121 ,LOW,SYSTEM DUPLICATE
LAW.P.D100,Yolanda,2,1,2025-06-26,3 DOLPHIN PLACE LAWLEY LENASIA 1824 GT 79800121 JH,LOW,SYSTEM DUPLICATE
LAW.P.C586,Pieter,2,1,2025-04-30,8022 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,LOW,SYSTEM DUPLICATE
LAW.P.C524,Yolanda,2,2,2025-06-06 | 2025-06-26,52 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79,MEDIUM,VERIFY DUPLICATE
LAW.P.C639,Lorraine,2,1,2025-07-05,91 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79,LOW,SYSTEM DUPLICATE
LAW.P.C641,Yolanda,2,1,2025-06-02,83 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79,LOW,SYSTEM DUPLICATE
LAW.P.C389,Yolanda,2,1,2025-06-06,33 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79,LOW,SYSTEM DUPLICATE
LAW.P.C527,Yolanda,2,2,2025-06-03 | 2025-07-02,40 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 7,MEDIUM,VERIFY DUPLICATE
LAW.P.C345,itumeleng,2,1,2025-06-02,7 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 79,LOW,SYSTEM DUPLICATE
LAW.P.C316,Tholakele,2,1,2025-07-05,5 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 798,LOW,SYSTEM DUPLICATE
LAW.P.C153,Cecilia,2,2,2025-05-29 | 2025-05-30,KUNENE STREET LAWLEY ESTATE LENASIA 1824 GT 798000,MEDIUM,VERIFY DUPLICATE
LAW.P.C212,Cecilia,2,1,2025-05-31,KUNENE STREET LAWLEY ESTATE LENASIA 1824 GT 798000,LOW,SYSTEM DUPLICATE
LAW.P.C302,Yolanda,2,1,2025-05-30,KUNENE STREET LAWLEY ESTATE LENASIA 1824 GT 798000,LOW,SYSTEM DUPLICATE
LAW.P.C176,Nompumelelo,2,1,2025-05-30,55 MATHE STREET LAWLEY ESTATE LENASIA 1824 GT 7980,LOW,SYSTEM DUPLICATE
LAW.P.C218,Cecilia,2,1,2025-06-01,KUNENE STREET LAWLEY ESTATE LENASIA 1824 GT 798000,LOW,SYSTEM DUPLICATE
LAW.P.A222,Tumesang Evelyn Molahlehi,2,2,2025-05-31 | 2025-06-01,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800,MEDIUM,VERIFY DUPLICATE
LAW.P.A170,Yolanda,2,1,2025-06-02,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800,LOW,SYSTEM DUPLICATE
LAW.P.A226,Nompumelelo,2,1,2025-05-31,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800,LOW,SYSTEM DUPLICATE
LAW.P.A723,itumeleng8,2,1,2025-05-31,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800,LOW,SYSTEM DUPLICATE
LAW.P.A083,Yolanda,2,1,2025-06-02,332 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT ,LOW,SYSTEM DUPLICATE
LAW.P.A048,marchael,2,1,2025-05-05,6860 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,LOW,SYSTEM DUPLICATE
LAW.P.D562,Adrian,2,1,2025-05-01,6995 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,LOW,SYSTEM DUPLICATE
LAW.P.D640,Almerinda,2,1,2025-06-02,74 RAMODIKE STREET LAWLEY ESTATE LENASIA 1824 GT 7,LOW,SYSTEM DUPLICATE
LAW.P.E433,Yolanda,2,1,2025-05-29,KUNENE STREET LAWLEY ESTATE LENASIA 1824 GT 798000,LOW,SYSTEM DUPLICATE
LAW.P.D906,Nompumelelo,2,1,2025-06-03,91 SIPHIWE CRESCENT LAWLEY ESTATE LENASIA 1824 GT ,LOW,SYSTEM DUPLICATE
LAW.P.D977,itumeleng,2,1,2025-06-03,1 PEACE STREET LAWLEY ESTATE LENASIA 1824 GT 79800,LOW,SYSTEM DUPLICATE
LAW.P.D862,Pearl Molisa,2,1,2025-07-05,26 THUTO STREET LAWLEY ESTATE LENASIA 1824 GT 7980,LOW,SYSTEM DUPLICATE
LAW.P.B245,Disemelo,2,1,2025-06-04,41 MAHLANGU CRESCENT LAWLEY ESTATE LENASIA 1824 GT,LOW,SYSTEM DUPLICATE
LAW.P.E224,itumeleng,2,1,2025-06-04,2 SIYABUSWA STREET LAWLEY ESTATE LENASIA 1824 GT 7,LOW,SYSTEM DUPLICATE
LAW.P.E221,itumeleng,2,1,2025-06-04,12 SIYABUSWA STREET LAWLEY ESTATE LENASIA 1824 GT ,LOW,SYSTEM DUPLICATE
LAW.P.D993,itumeleng,2,2,2025-06-03 | 2025-07-03,19 PEACE STREET LAWLEY ESTATE LENASIA 1824 GT 7980,MEDIUM,VERIFY DUPLICATE
LAW.P.D985,Lerato,2,1,2025-06-02,12 PEACE STREET LAWLEY ESTATE LENASIA 1824 GT 7980,LOW,SYSTEM DUPLICATE
LAW.P.E304,itumeleng,2,1,2025-06-04,23 DINGATA STREET LAWLEY ESTATE LENASIA 1824 GT 79,LOW,SYSTEM DUPLICATE
LAW.P.E242,Lerato,2,1,2025-06-03,24 SIPHIWE CRESCENT LAWLEY ESTATE LENASIA 1824 GT ,LOW,SYSTEM DUPLICATE
LAW.P.B301,itumeleng,2,1,2025-07-01,30 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 7,LOW,SYSTEM DUPLICATE
LAW.P.A785,Disemelo,2,1,2025-06-05,5 MOTAUNG STREET LAWLEY ESTATE LENASIA 1824 GT 798,LOW,SYSTEM DUPLICATE
LAW.P.A745,itumeleng,2,1,2025-06-07,13 KABELO STREET LAWLEY ESTATE LENASIA 1824 GT 798,LOW,SYSTEM DUPLICATE
LAW.P.B294,Zanele hele,2,1,2025-07-05,30 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 7,LOW,SYSTEM DUPLICATE
LAW.P.B279,itumeleng,2,1,2025-07-01,30 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 7,LOW,SYSTEM DUPLICATE
LAW.P.B372,itumeleng,2,2,2025-06-12 | 2025-07-01,156 SIYABONGA STREET LAWLEY ESTATE LENASIA 1824 GT,MEDIUM,VERIFY DUPLICATE
LAW.P.B413,itumeleng,2,1,2025-06-12,13 MONDE STREET LAWLEY ESTATE LENASIA 1824 GT 7980,LOW,SYSTEM DUPLICATE
LAW.P.B415,Lerato,2,2,2025-06-03 | 2025-06-26,2 MONDE STREET LAWLEY ESTATE LENASIA 1824 GT 79800,MEDIUM,VERIFY DUPLICATE
LAW.P.E395,simphiwe mashaba,2,2,2025-06-03 | 2025-07-08,67 UXOLO STREET LAWLEY ESTATE LENASIA 1824 GT 7980,MEDIUM,VERIFY DUPLICATE
LAW.P.E396,simphiwe mashaba,2,2,2025-06-03 | 2025-07-08,22 HLOHONOLOFATSO STREET LAWLEY ESTATE LENASIA 182,MEDIUM,VERIFY DUPLICATE
LAW.P.B453,simphiwe mashaba,2,2,2025-06-03 | 2025-07-08,28 HLOHONOLOFATSO STREET LAWLEY ESTATE LENASIA 182,MEDIUM,VERIFY DUPLICATE
LAW.P.B741,Ana Jane,2,1,2025-06-03,31 HINGALWI STREET LAWLEY ESTATE LENASIA 1824 GT 7,LOW,SYSTEM DUPLICATE
LAW.P.B916,Ana Jane,2,1,2025-05-30,50 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT,LOW,SYSTEM DUPLICATE
LAW.P.B440,Lerato,2,1,2025-06-03,32 HINGALWI STREET LAWLEY ESTATE LENASIA 1824 GT 7,LOW,SYSTEM DUPLICATE
LAW.P.B880,Ana Jane,2,1,2025-07-01,18 MANYATHELA STREET LAWLEY ESTATE LENASIA 1824 GT,LOW,SYSTEM DUPLICATE
LAW.P.B864,Ana Jane,2,1,2025-07-01,20 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT,LOW,SYSTEM DUPLICATE
LAW.P.B869,Dikgahlo Lesitha,2,1,2025-07-01,6 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT ,LOW,SYSTEM DUPLICATE
LAW.P.B887,Almerinda,2,1,2025-05-30,41 MANYATHELA STREET LAWLEY ESTATE LENASIA 1824 GT,LOW,SYSTEM DUPLICATE
LAW.P.B964,simphiwe mashaba,2,1,2025-07-03,8 CHICCO STREET LAWLEY ESTATE LENASIA 1824 GT 7980,LOW,SYSTEM DUPLICATE
LAW.P.B825,Angelique mashele,2,1,2025-07-08,13 ZITHA STREET LAWLEY ESTATE LENASIA 1824 GT 7980,LOW,SYSTEM DUPLICATE
LAW.P.C011,Ana Jane,2,1,2025-07-08,79 MIYELANI STREET LAWLEY ESTATE LENASIA 1824 GT 7,LOW,SYSTEM DUPLICATE
LAW.P.C017,Ana Jane,2,1,2025-07-08,79 MIYELANI STREET LAWLEY ESTATE LENASIA 1824 GT 7,LOW,SYSTEM DUPLICATE
LAW.P.E359,Almerinda,2,1,2025-07-05,61 MIYELANI STREET LAWLEY ESTATE LENASIA 1824 GT 7,LOW,SYSTEM DUPLICATE
LAW.P.C065,Nompumelelo Nkosi,2,1,2025-07-02,51 MIYELANI STREET LAWLEY ESTATE LENASIA 1824 GT 7,LOW,SYSTEM DUPLICATE
LAW.P.B841,Yolanda,2,1,2025-07-05,5 SIYABONGA STREET LAWLEY ESTATE LENASIA 1824 GT 7,LOW,SYSTEM DUPLICATE
LAW.P.B839,Pearl Molisa,2,2,2025-07-02 | 2025-07-03,9 SIYABONGA STREET LAWLEY ESTATE LENASIA 1824 GT 7,MEDIUM,VERIFY DUPLICATE
LAW.P.B833,Yolanda,2,1,2025-07-05,23 SIYABONGA STREET LAWLEY ESTATE LENASIA 1824 GT ,LOW,SYSTEM DUPLICATE
LAW.P.B573,Zanele hele,2,1,2025-07-01,11 UXOLO STREET LAWLEY ESTATE LENASIA 1824 GT 7980,LOW,SYSTEM DUPLICATE
LAW.P.B584,Zanele hele,2,1,2025-07-01,20 UXOLO STREET LAWLEY ESTATE LENASIA 1824 GT 7980,LOW,SYSTEM DUPLICATE
LAW.P.B724,Almerinda,2,1,2025-07-03,24 ZWANE STREET LAWLEY ESTATE LENASIA 1824 GT 7980,LOW,SYSTEM DUPLICATE
LAW.P.E261,simphiwe mashaba,2,1,2025-06-04,10 MAGOBE STREET LAWLEY ESTATE LENASIA 1824 GT 798,LOW,SYSTEM DUPLICATE
LAW.P.E035,simphiwe mashaba,2,1,2025-06-02,14 TOKOHOLO STREET LAWLEY ESTATE LENASIA 1824 GT 7,LOW,SYSTEM DUPLICATE
LAW.P.E046,Disemelo,2,1,2025-06-05,1 ARMAILLO STREET LAWLEY ESTATE LENASIA 1824 GT 79,LOW,SYSTEM DUPLICATE
LAW.P.E088,Disemelo,2,1,2025-06-05,38 TOKOHOLO STREET LAWLEY ESTATE LENASIA 1824 GT 7,LOW,SYSTEM DUPLICATE
LAW.P.D773,Disemelo,2,1,2025-06-05,14 SIZONQOBA STREET LAWLEY ESTATE LENASIA 1824 GT ,LOW,SYSTEM DUPLICATE
LAW.P.D688,Ana Jane,2,1,2025-06-04,23 SCABELO STREET LAWLEY ESTATE LENASIA 1824 GT 79,LOW,SYSTEM DUPLICATE
LAW.P.D757,Zanele hele,2,2,2025-05-31 | 2025-06-01,137 KUNENE STREET LAWLEY ESTATE LENASIA 1824 GT 79,MEDIUM,VERIFY DUPLICATE
LAW.P.D727,Zanele hele,2,2,2025-05-30 | 2025-06-06,25 MOTLOTLO STREET LAWLEY ESTATE LENASIA 1824 GT 7,MEDIUM,VERIFY DUPLICATE
LAW.P.D704,Thembi,2,1,2025-06-06,43 AWELANI STREET LAWLEY ESTATE LENASIA 1824 GT 79,LOW,SYSTEM DUPLICATE
LAW.P.D698,Almerinda,2,1,2025-05-31,131 RAMODIKE STREET LAWLEY ESTATE LENASIA 1824 GT ,LOW,SYSTEM DUPLICATE
LAW.P.D713,Zanele hele,2,2,2025-05-30 | 2025-06-01,40 MOTLOTLO STREET LAWLEY ESTATE LENASIA 1824 GT 7,MEDIUM,VERIFY DUPLICATE
LAW.P.D734,Zanele hele,2,2,2025-05-30 | 2025-06-01,50 MOTLOTLO STREET LAWLEY ESTATE LENASIA 1824 GT 7,MEDIUM,VERIFY DUPLICATE
LAW.P.C650,Zanele hele,2,1,2025-05-30,102 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT,LOW,SYSTEM DUPLICATE
LAW.P.C645,Zanele hele,2,2,2025-06-03 | 2025-06-06,84 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT ,MEDIUM,VERIFY DUPLICATE
LAW.P.D079,Tholakele,2,1,2025-06-02,33 BONITO CRESCENT LAWLEY LENASIA 1824 GT 79800121,LOW,SYSTEM DUPLICATE
LAW.P.C879,Nompumelelo,2,1,2025-06-06,28 BONITO CRESCENT LAWLEY LENASIA 1824 GT 79800121,LOW,SYSTEM DUPLICATE
LAW.P.C736,Disemelo,2,2,2025-06-06 | 2025-07-05,22 BLUEHEAD CRESCENT LAWLEY LENASIA 1824 GT 798001,MEDIUM,VERIFY DUPLICATE
LAW.P.C902,Zanele Hele,2,1,2025-06-26,26 CHROME CRESCENT LAWLEY LENASIA 1824 GT 79800121,LOW,SYSTEM DUPLICATE
LAW.P.D375,Mpoletsang,2,1,2025-07-05,47 TROUT CRESCENT LAWLEY LENASIA 1824 GT 79800121 ,LOW,SYSTEM DUPLICATE
LAW.P.D393,Mpoletsang,2,1,2025-07-05,30 TRIPOD CRESCENT LAWLEY LENASIA 1824 GT 79800121,LOW,SYSTEM DUPLICATE
LAW.P.D437,Angelique,2,1,2025-06-09,35 MACKEREL ROAD LAWLEY LENASIA 1824 GT 79800121 J,LOW,SYSTEM DUPLICATE
